Infinitive,перегрузи́ть
Zaliznyak Class,4c // 4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,перегрузи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,перегру́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,перегружённый
PART:2:Participle Type,passive
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,перегрузи́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,перегрузи́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,перегружу́
2nd Sing,перегру́зишь
3rd Sing,перегру́зит
1st Pl,перегру́зим
2nd Pl,перегру́зите
3rd Pl,перегру́зят
Past M,перегрузи́л
Past F,перегрузи́ла
Past N,перегрузи́ло
Past PL,перегрузи́ли
Imp S,перегрузи́
Imp PL,перегрузи́те
