Infinitive,переговори́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,переговори́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,переговорённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,переговори́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,переговори́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,переговорю́
2nd Sing,переговори́шь
3rd Sing,переговори́т
1st Pl,переговори́м
2nd Pl,переговори́те
3rd Pl,переговоря́т
Past M,переговори́л
Past F,переговори́ла
Past N,переговори́ло
Past PL,переговори́ли
Imp S,переговори́
Imp PL,переговори́те
