Infinitive,перевыполня́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,перевыполня́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,перевыполня́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,перевыполня́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,перевыполня́я
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,перевыполня́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,перевыполня́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,перевыполня́ю
2nd Sing,перевыполня́ешь
3rd Sing,перевыполня́ет
1st Pl,перевыполня́ем
2nd Pl,перевыполня́ете
3rd Pl,перевыполня́ют
Past M,перевыполня́л
Past F,перевыполня́ла
Past N,перевыполня́ло
Past PL,перевыполня́ли
Imp S,перевыполня́й
Imp PL,перевыполня́йте
