Infinitive,переоде́ться
Zaliznyak Class,15a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,переоде́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,переоде́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,переоде́нусь
2nd Sing,переоде́нешься
3rd Sing,переоде́нется
1st Pl,переоде́немся
2nd Pl,переоде́нетесь
3rd Pl,переоде́нутся
Past M,переоде́лся
Past F,переоде́лась
Past N,переоде́лось
Past PL,переоде́лись
Imp S,переоде́нься
Imp PL,переоде́ньтесь
