Infinitive,переста́ть
Zaliznyak Class,15a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,переста́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,переста́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,переста́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,переста́ну
2nd Sing,переста́нешь
3rd Sing,переста́нет
1st Pl,переста́нем
2nd Pl,переста́нете
3rd Pl,переста́нут
Past M,переста́л
Past F,переста́ла
Past N,переста́ло
Past PL,переста́ли
Imp S,переста́нь
Imp PL,переста́ньте
