Infinitive,переступи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,переступи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пересту́пленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,переступи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,переступи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,переступлю́
2nd Sing,пересту́пишь
3rd Sing,пересту́пит
1st Pl,пересту́пим
2nd Pl,пересту́пите
3rd Pl,пересту́пят
Past M,переступи́л
Past F,переступи́ла
Past N,переступи́ло
Past PL,переступи́ли
Imp S,переступи́
Imp PL,переступи́те
