Infinitive,перебра́сываться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,перебра́сывающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,перебра́сывавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,перебра́сываясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,перебра́сывавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,перебра́сываюсь
2nd Sing,перебра́сываешься
3rd Sing,перебра́сывается
1st Pl,перебра́сываемся
2nd Pl,перебра́сываетесь
3rd Pl,перебра́сываются
Past M,перебра́сывался
Past F,перебра́сывалась
Past N,перебра́сывалось
Past PL,перебра́сывались
Imp S,перебра́сывайся
Imp PL,перебра́сывайтесь
