Infinitive,печа́таться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,печа́тающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,печа́тавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,печа́таясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,печа́тавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,печа́таюсь
2nd Sing,печа́таешься
3rd Sing,печа́тается
1st Pl,печа́таемся
2nd Pl,печа́таетесь
3rd Pl,печа́таются
Past M,печа́тался
Past F,печа́талась
Past N,печа́талось
Past PL,печа́тались
Imp S,печа́тайся
Imp PL,печа́тайтесь
