Infinitive,переночева́ть
Zaliznyak Class,2a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,переночева́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,переночева́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,переночева́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,переночу́ю
2nd Sing,переночу́ешь
3rd Sing,переночу́ет
1st Pl,переночу́ем
2nd Pl,переночу́ете
3rd Pl,переночу́ют
Past M,переночева́л
Past F,переночева́ла
Past N,переночева́ло
Past PL,переночева́ли
Imp S,переночу́й
Imp PL,переночу́йте
