Infinitive,перекрести́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,перекрести́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,перекрести́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,перекрещу́сь
2nd Sing,перекре́стишься
3rd Sing,перекре́стится
1st Pl,перекре́стимся
2nd Pl,перекре́ститесь
3rd Pl,перекре́стятся
Past M,перекрести́лся
Past F,перекрести́лась
Past N,перекрести́лось
Past PL,перекрести́лись
Imp S,перекрести́сь
Imp PL,перекрести́тесь
