Infinitive,перебира́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,перебира́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,перебира́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,перебира́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,перебира́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,перебира́юсь
2nd Sing,перебира́ешься
3rd Sing,перебира́ется
1st Pl,перебира́емся
2nd Pl,перебира́етесь
3rd Pl,перебира́ются
Past M,перебира́лся
Past F,перебира́лась
Past N,перебира́лось
Past PL,перебира́лись
Imp S,перебира́йся
Imp PL,перебира́йтесь
