Infinitive,пересе́сть
Zaliznyak Class,7a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,пересе́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пересе́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,пересе́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,переся́ду
2nd Sing,переся́дешь
3rd Sing,переся́дет
1st Pl,переся́дем
2nd Pl,переся́дете
3rd Pl,переся́дут
Past M,пересе́л
Past F,пересе́ла
Past N,пересе́ло
Past PL,пересе́ли
Imp S,переся́дь
Imp PL,переся́дьте
