Infinitive,перебежа́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,перебежа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,перебежа́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,перебежа́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,перебегу́
2nd Sing,перебежи́шь
3rd Sing,перебежи́т
1st Pl,перебежи́м
2nd Pl,перебежи́те
3rd Pl,перебегу́т
Past M,перебежа́л
Past F,перебежа́ла
Past N,перебежа́ло
Past PL,перебежа́ли
Imp S,перебеги́
Imp PL,перебеги́те
