Infinitive,перека́тываться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,перека́тывающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,перека́тывавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,перека́тываясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,перека́тывавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,перека́тываюсь
2nd Sing,перека́тываешься
3rd Sing,перека́тывается
1st Pl,перека́тываемся
2nd Pl,перека́тываетесь
3rd Pl,перека́тываются
Past M,перека́тывался
Past F,перека́тывалась
Past N,перека́тывалось
Past PL,перека́тывались
Imp S,перека́тывайся
Imp PL,перека́тывайтесь
