Infinitive,пе́ниться
Zaliznyak Class,4a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,пе́нящийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,пе́нившийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пе́нясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,пе́нившись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пе́нюсь
2nd Sing,пе́нишься
3rd Sing,пе́нится
1st Pl,пе́нимся
2nd Pl,пе́нитесь
3rd Pl,пе́нятся
Past M,пе́нился
Past F,пе́нилась
Past N,пе́нилось
Past PL,пе́нились
Imp S,пе́нься
Imp PL,пе́ньтесь
