Infinitive,перекати́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,перекати́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,перекати́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,перекачу́сь
2nd Sing,перека́тишься
3rd Sing,перека́тится
1st Pl,перека́тимся
2nd Pl,перека́титесь
3rd Pl,перека́тятся
Past M,перекати́лся
Past F,перекати́лась
Past N,перекати́лось
Past PL,перекати́лись
Imp S,перекати́сь
Imp PL,перекати́тесь
