Infinitive,переры́ть
Zaliznyak Class,12a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,переры́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,переры́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,переры́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,переры́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,переро́ю
2nd Sing,переро́ешь
3rd Sing,переро́ет
1st Pl,переро́ем
2nd Pl,переро́ете
3rd Pl,переро́ют
Past M,переры́л
Past F,переры́ла
Past N,переры́ло
Past PL,переры́ли
Imp S,переро́й
Imp PL,переро́йте
