Infinitive,перерабо́тать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,перерабо́тавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,перерабо́танный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,перерабо́тав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,перерабо́тавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,перерабо́таю
2nd Sing,перерабо́таешь
3rd Sing,перерабо́тает
1st Pl,перерабо́таем
2nd Pl,перерабо́таете
3rd Pl,перерабо́тают
Past M,перерабо́тал
Past F,перерабо́тала
Past N,перерабо́тало
Past PL,перерабо́тали
Imp S,перерабо́тай
Imp PL,перерабо́тайте
