Infinitive,перебива́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,перебива́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,перебива́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,перебива́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,перебива́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,перебива́юсь
2nd Sing,перебива́ешься
3rd Sing,перебива́ется
1st Pl,перебива́емся
2nd Pl,перебива́етесь
3rd Pl,перебива́ются
Past M,перебива́лся
Past F,перебива́лась
Past N,перебива́лось
Past PL,перебива́лись
Imp S,перебива́йся
Imp PL,перебива́йтесь
