Infinitive,перепра́вить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,перепра́вивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,перепра́вленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,перепра́вив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,перепра́вивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,перепра́влю
2nd Sing,перепра́вишь
3rd Sing,перепра́вит
1st Pl,перепра́вим
2nd Pl,перепра́вите
3rd Pl,перепра́вят
Past M,перепра́вил
Past F,перепра́вила
Past N,перепра́вило
Past PL,перепра́вили
Imp S,перепра́вь
Imp PL,перепра́вьте
