Infinitive,передра́знивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,передра́знивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,передра́знивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,передра́зниваемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,передра́знивая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,передра́знивав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,передра́знивавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,передра́зниваю
2nd Sing,передра́зниваешь
3rd Sing,передра́знивает
1st Pl,передра́зниваем
2nd Pl,передра́зниваете
3rd Pl,передра́знивают
Past M,передра́знивал
Past F,передра́знивала
Past N,передра́знивало
Past PL,передра́знивали
Imp S,передра́знивай
Imp PL,передра́знивайте
