Infinitive,пересчита́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,пересчита́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пересчи́танный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пересчита́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,пересчита́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пересчита́ю
2nd Sing,пересчита́ешь
3rd Sing,пересчита́ет
1st Pl,пересчита́ем
2nd Pl,пересчита́ете
3rd Pl,пересчита́ют
Past M,пересчита́л
Past F,пересчита́ла
Past N,пересчита́ло
Past PL,пересчита́ли
Imp S,пересчита́й
Imp PL,пересчита́йте
