Infinitive,перегре́ться
Zaliznyak Class,12a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,перегре́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,перегре́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,перегре́юсь
2nd Sing,перегре́ешься
3rd Sing,перегре́ется
1st Pl,перегре́емся
2nd Pl,перегре́етесь
3rd Pl,перегре́ются
Past M,перегре́лся
Past F,перегре́лась
Past N,перегре́лось
Past PL,перегре́лись
Imp S,перегре́йся
Imp PL,перегре́йтесь
