Infinitive,перелете́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,перелете́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,перелете́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,перелете́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,перелечу́
2nd Sing,перелети́шь
3rd Sing,перелети́т
1st Pl,перелети́м
2nd Pl,перелети́те
3rd Pl,перелетя́т
Past M,перелете́л
Past F,перелете́ла
Past N,перелете́ло
Past PL,перелете́ли
Imp S,перелети́
Imp PL,перелети́те
