Infinitive,перепа́дать
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,перепа́давший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,перепа́дав
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,перепа́давши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,перепа́даю
2nd Sing,перепа́даешь
3rd Sing,перепа́дает
1st Pl,перепа́даем
2nd Pl,перепа́даете
3rd Pl,перепа́дают
Past M,перепа́дал
Past F,перепа́дала
Past N,перепа́дало
Past PL,перепа́дали
Imp S,перепа́дай
Imp PL,перепа́дайте
