Infinitive,пересади́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,пересади́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,переса́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пересади́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,пересади́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пересажу́
2nd Sing,переса́дишь
3rd Sing,переса́дит
1st Pl,переса́дим
2nd Pl,переса́дите
3rd Pl,переса́дят
Past M,пересади́л
Past F,пересади́ла
Past N,пересади́ло
Past PL,пересади́ли
Imp S,пересади́
Imp PL,пересади́те
