Infinitive,перегиба́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,перегиба́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,перегиба́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,перегиба́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,перегиба́я
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,перегиба́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,перегиба́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,перегиба́ю
2nd Sing,перегиба́ешь
3rd Sing,перегиба́ет
1st Pl,перегиба́ем
2nd Pl,перегиба́ете
3rd Pl,перегиба́ют
Past M,перегиба́л
Past F,перегиба́ла
Past N,перегиба́ло
Past PL,перегиба́ли
Imp S,перегиба́й
Imp PL,перегиба́йте
