Infinitive,перекати́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,перекати́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,перека́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,перекати́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,перекати́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,перекачу́
2nd Sing,перека́тишь
3rd Sing,перека́тит
1st Pl,перека́тим
2nd Pl,перека́тите
3rd Pl,перека́тят
Past M,перекати́л
Past F,перекати́ла
Past N,перекати́ло
Past PL,перекати́ли
Imp S,перекати́
Imp PL,перекати́те
