Infinitive,петля́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,петля́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,петля́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,петля́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,петля́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,петля́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,петля́ю
2nd Sing,петля́ешь
3rd Sing,петля́ет
1st Pl,петля́ем
2nd Pl,петля́ете
3rd Pl,петля́ют
Past M,петля́л
Past F,петля́ла
Past N,петля́ло
Past PL,петля́ли
Imp S,петля́й
Imp PL,петля́йте
