Infinitive,пе́ть
Zaliznyak Class,12b
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,пою́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,пе́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пе́тый
PART:2:Participle Type,passive
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,поя́
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,пе́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,пе́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,пою́
2nd Sing,поёшь
3rd Sing,поёт
1st Pl,поём
2nd Pl,поёте
3rd Pl,пою́т
Past M,пе́л
Past F,пе́ла
Past N,пе́ло
Past PL,пе́ли
Imp S,по́й
Imp PL,по́йте
