Infinitive,перепуга́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,перепуга́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,перепу́ганный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,перепуга́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,перепуга́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,перепуга́ю
2nd Sing,перепуга́ешь
3rd Sing,перепуга́ет
1st Pl,перепуга́ем
2nd Pl,перепуга́ете
3rd Pl,перепуга́ют
Past M,перепуга́л
Past F,перепуга́ла
Past N,перепуга́ло
Past PL,перепуга́ли
Imp S,перепуга́й
Imp PL,перепуга́йте
