Infinitive,перемеща́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,перемеща́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,перемеща́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,перемеща́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,перемеща́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,перемеща́юсь
2nd Sing,перемеща́ешься
3rd Sing,перемеща́ется
1st Pl,перемеща́емся
2nd Pl,перемеща́етесь
3rd Pl,перемеща́ются
Past M,перемеща́лся
Past F,перемеща́лась
Past N,перемеща́лось
Past PL,перемеща́лись
Imp S,перемеща́йся
Imp PL,перемеща́йтесь
