Infinitive,перевезти́
Zaliznyak Class,7b/b⑨
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,перевёзший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,перевезённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,перевезя́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,перевёзши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,перевезу́
2nd Sing,перевезёшь
3rd Sing,перевезёт
1st Pl,перевезём
2nd Pl,перевезёте
3rd Pl,перевезу́т
Past M,перевёз
Past F,перевезла́
Past N,перевезло́
Past PL,перевезли́
Imp S,перевези́
Imp PL,перевези́те
