Infinitive,переспа́ть
Zaliznyak Class,5b/c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,переспа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пере́спанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,переспа́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,переспа́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пересплю́
2nd Sing,переспи́шь
3rd Sing,переспи́т
1st Pl,переспи́м
2nd Pl,переспи́те
3rd Pl,переспя́т
Past M,переспа́л
Past F,переспала́
Past N,переспа́ло
Past PL,переспа́ли
Imp S,переспи́
Imp PL,переспи́те
