Infinitive,перевора́чивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,перевора́чивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,перевора́чивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,перевора́чиваемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,перевора́чивая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,перевора́чивав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,перевора́чивавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,перевора́чиваю
2nd Sing,перевора́чиваешь
3rd Sing,перевора́чивает
1st Pl,перевора́чиваем
2nd Pl,перевора́чиваете
3rd Pl,перевора́чивают
Past M,перевора́чивал
Past F,перевора́чивала
Past N,перевора́чивало
Past PL,перевора́чивали
Imp S,перевора́чивай
Imp PL,перевора́чивайте
