Infinitive,перетерпе́ть
Zaliznyak Class,5c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,перетерпе́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,перетерпе́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,перетерпе́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,перетерплю́
2nd Sing,перете́рпишь
3rd Sing,перете́рпит
1st Pl,перете́рпим
2nd Pl,перете́рпите
3rd Pl,перете́рпят
Past M,перетерпе́л
Past F,перетерпе́ла
Past N,перетерпе́ло
Past PL,перетерпе́ли
Imp S,перетерпи́
Imp PL,перетерпи́те
