Infinitive,переку́сывать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,переку́сывающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,переку́сывавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,переку́сываемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,переку́сывая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,переку́сывав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,переку́сывавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,переку́сываю
2nd Sing,переку́сываешь
3rd Sing,переку́сывает
1st Pl,переку́сываем
2nd Pl,переку́сываете
3rd Pl,переку́сывают
Past M,переку́сывал
Past F,переку́сывала
Past N,переку́сывало
Past PL,переку́сывали
Imp S,переку́сывай
Imp PL,переку́сывайте
