Infinitive,переклика́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,переклика́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,переклика́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,переклика́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,переклика́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,переклика́юсь
2nd Sing,переклика́ешься
3rd Sing,переклика́ется
1st Pl,переклика́емся
2nd Pl,переклика́етесь
3rd Pl,переклика́ются
Past M,переклика́лся
Past F,переклика́лась
Past N,переклика́лось
Past PL,переклика́лись
Imp S,переклика́йся
Imp PL,переклика́йтесь
