Infinitive,перевяза́ть
Zaliznyak Class,6c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,перевяза́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,перевя́занный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,перевяза́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,перевяза́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,перевяжу́
2nd Sing,перевя́жешь
3rd Sing,перевя́жет
1st Pl,перевя́жем
2nd Pl,перевя́жете
3rd Pl,перевя́жут
Past M,перевяза́л
Past F,перевяза́ла
Past N,перевяза́ло
Past PL,перевяза́ли
Imp S,перевяжи́
Imp PL,перевяжи́те
