Infinitive,печа́литься
Zaliznyak Class,4a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,печа́лящийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,печа́лившийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,печа́лясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,печа́лившись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,печа́люсь
2nd Sing,печа́лишься
3rd Sing,печа́лится
1st Pl,печа́лимся
2nd Pl,печа́литесь
3rd Pl,печа́лятся
Past M,печа́лился
Past F,печа́лилась
Past N,печа́лилось
Past PL,печа́лились
Imp S,печа́лься
Imp PL,печа́льтесь
