Infinitive,перевали́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,перевали́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,перевали́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,перевалю́сь
2nd Sing,перева́лишься
3rd Sing,перева́лится
1st Pl,перева́лимся
2nd Pl,перева́литесь
3rd Pl,перева́лятся
Past M,перевали́лся
Past F,перевали́лась
Past N,перевали́лось
Past PL,перевали́лись
Imp S,перевали́сь
Imp PL,перевали́тесь
