Infinitive,перегляну́ться
Zaliznyak Class,3c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,перегляну́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,перегляну́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,перегляну́сь
2nd Sing,перегля́нешься
3rd Sing,перегля́нется
1st Pl,перегля́немся
2nd Pl,перегля́нетесь
3rd Pl,перегля́нутся
Past M,перегляну́лся
Past F,перегляну́лась
Past N,перегляну́лось
Past PL,перегляну́лись
Imp S,перегляни́сь
Imp PL,перегляни́тесь
