Infinitive,перели́ть
Zaliznyak Class,11b/c[①]
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,перели́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пе́релитый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,перели́тый
PART:2:Participle Type,passive
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,перели́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,перели́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,перелью́
2nd Sing,перельёшь
3rd Sing,перельёт
1st Pl,перельём
2nd Pl,перельёте
3rd Pl,перелью́т
Past M,пе́релил
Past F,перелила́
Past N,пе́релило
Past PL,пе́релили
Imp S,переле́й
Imp PL,переле́йте
