Infinitive,перебра́ться
Zaliznyak Class,6°b/c''
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,перебра́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,перебра́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,переберу́сь
2nd Sing,переберёшься
3rd Sing,переберётся
1st Pl,переберёмся
2nd Pl,переберётесь
3rd Pl,переберу́тся
Past M,перебра́лся
Past F,перебрала́сь
Past N,перебрало́сь
Past PL,перебрали́сь
Imp S,перебери́сь
Imp PL,перебери́тесь
