Infinitive,переизда́ть
Zaliznyak Class,irreg-b/c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,переизда́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,переи́зданный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,переизда́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,переизда́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,переизда́м
2nd Sing,переизда́шь
3rd Sing,переизда́ст
1st Pl,переиздади́м
2nd Pl,переиздади́те
3rd Pl,переиздаду́т
Past M,переизда́л
Past F,переиздала́
Past N,переизда́ло
Past PL,переизда́ли
Imp S,переизда́й
Imp PL,переизда́йте
