Infinitive,перевя́зывать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,перевя́зывающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,перевя́зывавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,перевя́зываемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,перевя́зывая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,перевя́зывав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,перевя́зывавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,перевя́зываю
2nd Sing,перевя́зываешь
3rd Sing,перевя́зывает
1st Pl,перевя́зываем
2nd Pl,перевя́зываете
3rd Pl,перевя́зывают
Past M,перевя́зывал
Past F,перевя́зывала
Past N,перевя́зывало
Past PL,перевя́зывали
Imp S,перевя́зывай
Imp PL,перевя́зывайте
