Infinitive,переса́живать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,переса́живающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,переса́живавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,переса́живаемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,переса́живая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,переса́живав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,переса́живавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,переса́живаю
2nd Sing,переса́живаешь
3rd Sing,переса́живает
1st Pl,переса́живаем
2nd Pl,переса́живаете
3rd Pl,переса́живают
Past M,переса́живал
Past F,переса́живала
Past N,переса́живало
Past PL,переса́живали
Imp S,переса́живай
Imp PL,переса́живайте
