Infinitive,переложи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,переложи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,перело́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,переложи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,переложи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,переложу́
2nd Sing,перело́жишь
3rd Sing,перело́жит
1st Pl,перело́жим
2nd Pl,перело́жите
3rd Pl,перело́жат
Past M,переложи́л
Past F,переложи́ла
Past N,переложи́ло
Past PL,переложи́ли
Imp S,переложи́
Imp PL,переложи́те
