Infinitive,перегоре́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,перегоре́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,перегоре́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,перегоре́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,перегорю́
2nd Sing,перегори́шь
3rd Sing,перегори́т
1st Pl,перегори́м
2nd Pl,перегори́те
3rd Pl,перегоря́т
Past M,перегоре́л
Past F,перегоре́ла
Past N,перегоре́ло
Past PL,перегоре́ли
Imp S,перегори́
Imp PL,перегори́те
