Infinitive,перешагну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,перешагну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,перешагну́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,перешагну́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,перешагну́
2nd Sing,перешагнёшь
3rd Sing,перешагнёт
1st Pl,перешагнём
2nd Pl,перешагнёте
3rd Pl,перешагну́т
Past M,перешагну́л
Past F,перешагну́ла
Past N,перешагну́ло
Past PL,перешагну́ли
Imp S,перешагни́
Imp PL,перешагни́те
