Infinitive,переде́лывать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,переде́лывающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,переде́лывавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,переде́лываемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,переде́лывая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,переде́лывав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,переде́лывавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,переде́лываю
2nd Sing,переде́лываешь
3rd Sing,переде́лывает
1st Pl,переде́лываем
2nd Pl,переде́лываете
3rd Pl,переде́лывают
Past M,переде́лывал
Past F,переде́лывала
Past N,переде́лывало
Past PL,переде́лывали
Imp S,переде́лывай
Imp PL,переде́лывайте
