Infinitive,перетяну́ть
Zaliznyak Class,3c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,перетяну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,перетя́нутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,перетяну́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,перетяну́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,перетяну́
2nd Sing,перетя́нешь
3rd Sing,перетя́нет
1st Pl,перетя́нем
2nd Pl,перетя́нете
3rd Pl,перетя́нут
Past M,перетяну́л
Past F,перетяну́ла
Past N,перетяну́ло
Past PL,перетяну́ли
Imp S,перетяни́
Imp PL,перетяни́те
