Infinitive,переде́лать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,переде́лавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,переде́ланный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,переде́лав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,переде́лавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,переде́лаю
2nd Sing,переде́лаешь
3rd Sing,переде́лает
1st Pl,переде́лаем
2nd Pl,переде́лаете
3rd Pl,переде́лают
Past M,переде́лал
Past F,переде́лала
Past N,переде́лало
Past PL,переде́лали
Imp S,переде́лай
Imp PL,переде́лайте
