Infinitive,перепа́сть
Zaliznyak Class,7b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,перепа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,перепа́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,перепа́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,перепаду́
2nd Sing,перепадёшь
3rd Sing,перепадёт
1st Pl,перепадём
2nd Pl,перепадёте
3rd Pl,перепаду́т
Past M,перепа́л
Past F,перепа́ла
Past N,перепа́ло
Past PL,перепа́ли
Imp S,перепади́
Imp PL,перепади́те
