Infinitive,перее́хать
Zaliznyak Class,irreg-a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,перее́хавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,перее́хав
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,перее́хавши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,перее́ду
2nd Sing,перее́дешь
3rd Sing,перее́дет
1st Pl,перее́дем
2nd Pl,перее́дете
3rd Pl,перее́дут
Past M,перее́хал
Past F,перее́хала
Past N,перее́хало
Past PL,перее́хали
Imp S,переезжа́й
Imp PL,переезжа́йте
