Infinitive,перенести́сь
Zaliznyak Class,7b/b⑨
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,перенёсшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,перенеся́сь
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,перенёсшись
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,перенесу́сь
2nd Sing,перенесёшься
3rd Sing,перенесётся
1st Pl,перенесёмся
2nd Pl,перенесётесь
3rd Pl,перенесу́тся
Past M,перенёсся
Past F,перенесла́сь
Past N,перенесло́сь
Past PL,перенесли́сь
Imp S,перенеси́сь
Imp PL,перенеси́тесь
