Infinitive,пережи́ть
Zaliznyak Class,16b/c[①]
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,пережи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пе́режитый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,пережи́тый
PART:2:Participle Type,passive
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,пережи́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,пережи́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,переживу́
2nd Sing,переживёшь
3rd Sing,переживёт
1st Pl,переживём
2nd Pl,переживёте
3rd Pl,переживу́т
Past M,пе́режил
Past F,пережила́
Past N,пе́режило
Past PL,пе́режили
Imp S,переживи́
Imp PL,переживи́те
