Infinitive,перепры́гнуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,перепры́гнувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,перепры́гнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,перепры́гнув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,перепры́гнувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,перепры́гну
2nd Sing,перепры́гнешь
3rd Sing,перепры́гнет
1st Pl,перепры́гнем
2nd Pl,перепры́гнете
3rd Pl,перепры́гнут
Past M,перепры́гнул
Past F,перепры́гнула
Past N,перепры́гнуло
Past PL,перепры́гнули
Imp S,перепры́гни
Imp PL,перепры́гните
