Infinitive,переплести́
Zaliznyak Class,7b/b⑨
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,переплётший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,переплетённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,переплетя́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,переплётши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,переплету́
2nd Sing,переплетёшь
3rd Sing,переплетёт
1st Pl,переплетём
2nd Pl,переплетёте
3rd Pl,переплету́т
Past M,переплёл
Past F,переплела́
Past N,переплело́
Past PL,переплели́
Imp S,переплети́
Imp PL,переплети́те
