Infinitive,переки́дываться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,переки́дывающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,переки́дывавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,переки́дываясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,переки́дывавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,переки́дываюсь
2nd Sing,переки́дываешься
3rd Sing,переки́дывается
1st Pl,переки́дываемся
2nd Pl,переки́дываетесь
3rd Pl,переки́дываются
Past M,переки́дывался
Past F,переки́дывалась
Past N,переки́дывалось
Past PL,переки́дывались
Imp S,переки́дывайся
Imp PL,переки́дывайтесь
