Infinitive,перепры́гивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,перепры́гивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,перепры́гивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,перепры́гиваемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,перепры́гивая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,перепры́гивав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,перепры́гивавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,перепры́гиваю
2nd Sing,перепры́гиваешь
3rd Sing,перепры́гивает
1st Pl,перепры́гиваем
2nd Pl,перепры́гиваете
3rd Pl,перепры́гивают
Past M,перепры́гивал
Past F,перепры́гивала
Past N,перепры́гивало
Past PL,перепры́гивали
Imp S,перепры́гивай
Imp PL,перепры́гивайте
