Infinitive,переборо́ть
Zaliznyak Class,10c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,переборо́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,перебо́ротый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,переборо́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,переборо́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,переборю́
2nd Sing,перебо́решь
3rd Sing,перебо́рет
1st Pl,перебо́рем
2nd Pl,перебо́рете
3rd Pl,перебо́рют
Past M,переборо́л
Past F,переборо́ла
Past N,переборо́ло
Past PL,переборо́ли
Imp S,перебори́
Imp PL,перебори́те
