Infinitive,переплета́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,переплета́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,переплета́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,переплета́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,переплета́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,переплета́юсь
2nd Sing,переплета́ешься
3rd Sing,переплета́ется
1st Pl,переплета́емся
2nd Pl,переплета́етесь
3rd Pl,переплета́ются
Past M,переплета́лся
Past F,переплета́лась
Past N,переплета́лось
Past PL,переплета́лись
Imp S,переплета́йся
Imp PL,переплета́йтесь
