Infinitive,перезаряжа́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,перезаряжа́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,перезаряжа́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,перезаряжа́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,перезаряжа́я
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,перезаряжа́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,перезаряжа́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,перезаряжа́ю
2nd Sing,перезаряжа́ешь
3rd Sing,перезаряжа́ет
1st Pl,перезаряжа́ем
2nd Pl,перезаряжа́ете
3rd Pl,перезаряжа́ют
Past M,перезаряжа́л
Past F,перезаряжа́ла
Past N,перезаряжа́ло
Past PL,перезаряжа́ли
Imp S,перезаряжа́й
Imp PL,перезаряжа́йте
